puzis SotA 2, operation = remove, graph nodes = 1000, graph edges 5952, edge stream size = 50, groups size = 6, number of groups = 6
1, 15.000029563903809
2, 30.003729820251465
3, 44.94323801994324
4, 59.828447580337524
5, 74.84333157539368
6, 89.69564509391785
7, 104.67065858840942
8, 119.43297791481018
9, 134.2738287448883
10, 149.10581278800964
11, 164.10532641410828
12, 178.89273595809937
13, 193.65457820892334
14, 208.7132785320282
15, 223.54427194595337
16, 238.29232358932495
17, 253.16314268112183
18, 268.02927112579346
19, 282.77793741226196
20, 297.636652469635
21, 312.5399377346039
22, 327.29728174209595
23, 342.1176679134369
24, 357.1545557975769
25, 372.0138144493103
26, 387.0510890483856
27, 401.9824502468109
28, 416.80341935157776
29, 431.6812057495117
30, 446.441312789917
31, 461.3594436645508
32, 476.2065107822418
33, 491.1898510456085
34, 506.03057408332825
35, 520.8350255489349
36, 535.750245809555
37, 550.5735569000244
38, 565.5848002433777
39, 580.421865940094
40, 595.500803232193
41, 610.2957427501678
42, 625.3345713615417
43, 640.2270913124084
44, 655.2413852214813
45, 670.0949423313141
46, 685.0813238620758
47, 699.9237296581268
48, 714.7740454673767
49, 729.6951677799225
50, 744.5215702056885
