puzis SotA, operation = remove, graph nodes = 1000, graph edges 5952, edge stream size = 100, groups size = 10, number of groups = 10
1, 219941148, space
2, 219932868, space
3, 219932108, space
4, 219935820, space
5, 219933068, space
6, 219932108, space
7, 219936076, space
8, 219933324, space
9, 219932108, space
10, 219936332, space
11, 219933580, space
12, 219932108, space
13, 219936588, space
14, 219933836, space
15, 219932108, space
16, 219936844, space
17, 219934092, space
18, 219932020, space
19, 219936476, space
20, 219934348, space
21, 219931972, space
22, 219936476, space
23, 219934604, space
24, 219931892, space
25, 219936476, space
26, 219934860, space
27, 219931844, space
28, 219936476, space
29, 219935116, space
30, 219932100, space
31, 219936476, space
32, 219935372, space
33, 219932620, space
34, 219932108, space
35, 219935628, space
36, 219932876, space
37, 219932108, space
38, 219935884, space
39, 219933132, space
40, 219932108, space
41, 219936140, space
42, 219933388, space
43, 219932108, space
44, 219936396, space
45, 219933644, space
46, 219932108, space
47, 219936652, space
48, 219933900, space
49, 219932108, space
50, 219939308, space
51, 219934156, space
52, 219931996, space
53, 219936476, space
54, 219934412, space
55, 219931948, space
56, 219936476, space
57, 219934668, space
58, 219931868, space
59, 219936476, space
60, 219934924, space
61, 219931908, space
62, 219936476, space
63, 219935180, space
64, 219932164, space
65, 219936476, space
66, 219935436, space
67, 219932684, space
68, 219932108, space
69, 219935692, space
70, 219932940, space
71, 219932108, space
72, 219935948, space
73, 219933196, space
74, 219932108, space
75, 219936204, space
76, 219933452, space
77, 219932108, space
78, 219936460, space
79, 219933708, space
80, 219932108, space
81, 219936716, space
82, 219933964, space
83, 219932108, space
84, 219936476, space
85, 219934220, space
86, 219931996, space
87, 219936476, space
88, 219934476, space
89, 219931948, space
90, 219936476, space
91, 219934732, space
92, 219931868, space
93, 219936476, space
94, 219934988, space
95, 219931972, space
96, 219936476, space
97, 219935244, space
98, 219932228, space
99, 219936476, space
100, 219935500, space
