thesis gbc 2, operation = add, graph nodes = 500, graph edges 8976, edge stream size = 50, groups size = 5, number of groups = 5
1, 6.91220498085022
2, 9.61151123046875
3, 12.466793298721313
4, 15.181074380874634
5, 17.94773817062378
6, 20.69166088104248
7, 23.446966886520386
8, 26.2269287109375
9, 28.956488370895386
10, 31.78703808784485
11, 34.61068081855774
12, 37.36219072341919
13, 40.1477313041687
14, 42.87815546989441
15, 45.62421131134033
16, 48.349873781204224
17, 51.08128380775452
18, 53.94380736351013
19, 56.64346408843994
20, 59.55663347244263
21, 62.29868149757385
22, 65.10964608192444
23, 67.85099935531616
24, 71.05846500396729
25, 73.99020528793335
26, 76.83733129501343
27, 79.70554208755493
28, 82.43589901924133
29, 85.23624849319458
30, 88.03064441680908
31, 90.86651682853699
32, 93.60338163375854
33, 96.3723475933075
34, 99.27431464195251
35, 102.06386351585388
36, 104.92647337913513
37, 107.84324765205383
38, 110.71361088752747
39, 113.59915208816528
40, 116.50225162506104
41, 119.22437357902527
42, 122.12047219276428
43, 124.88264179229736
44, 127.64791941642761
45, 130.50258326530457
46, 133.30715346336365
47, 136.1337730884552
48, 138.88536071777344
49, 141.92658829689026
50, 144.7261459827423
